,background,skin,facial hair,eyes,outfit,hats,accessories
27,Blue Buzz,Human,Chop Stache,Normal_Eyes,Buddhist Robe,Viking Hat,None
28,Blue Sky,Human,Dirty Beard,Normal_Eyes,Pizza Shirt,Hippie,None
29,Sahara Desert,Human,Black Beard,Gangsta Shades,Pizza Shirt,Tarboush,Regular Earring
30,Purple City,Human,Wizard Beard,Normal_Eyes,Pizza Shirt,Asssasin Cut,None
31,City Rooftop,Human,Wizard Beard,Normal_Eyes,Buddhist Robe,Viking Hat,None
32,Sahara Desert,Human,Brown Beard,Normal_Eyes,Jacket,Curvy Hair,None
33,Blue Buzz,Human,Brown Beard,Normal_Eyes,Philosopher's Robe,Celestial Crown,None
34,Sahara Desert,Human,Brown Beard,Gangsta Shades,Hoodie,Viking Hat,Face Paint
35,Toxic Air,Human,Chop Stache,Round Glasses,Philosopher's Robe,Turban,Face Paint
36,Purple City,Zombie,Black Beard,Eye Patch,Buddhist Robe,Tarboush,None
37,Beach,Human,Black Beard,Normal_Eyes,Jacket,Mushy Hair,Face Paint
38,Toxic Air,Human,Black Beard,Gangsta Shades,Hoodie,Tarboush,None
39,Blue Buzz,Human,Wizard Beard,Round Glasses,Buddhist Robe,Hippie,None
40,Sahara Desert,Human,Shaolin Stache,Round Glasses,Buddhist Robe,Mushy Hair,None
41,Blue Buzz,Human,Chop Stache,Normal_Eyes,Pizza Shirt,Mushy Hair,None
42,Hallucinations,Zombie,Shaolin Stache,Normal_Eyes,Philosopher's Robe,Turban,Regular Earring
43,Blue Buzz,Human,Brown Beard,Gangsta Shades,Philosopher's Robe,Hippie,None
44,Purple City,Human,Brown Beard,Normal_Eyes,Jacket,Hippie,None
45,Starry Nights,Human,Black Beard,Normal_Eyes,Jacket,Hippie,None
46,City Rooftop,Human,Chop Stache,Normal_Eyes,Pizza Shirt,Tarboush,None
47,Blue Sky,Human,Black Beard,Normal_Eyes,Buddhist Robe,Mushy Hair,Regular Earring
48,Beach,Human,Brown Beard,Zap Shades,Philosopher's Robe,Curvy Hair,None
49,Beach,Human,Chop Stache,Gangsta Shades,Hoodie,Sombrero,None
50,Beach,Human,Black Beard,Round Glasses,Assasin's Fit,Hippie,None
51,City Rooftop,Human,Dirty Beard,Gangsta Shades,Jacket,Hippie,Regular Earring
52,City Rooftop,Alien,Black Beard,Normal_Eyes,Philosopher's Robe,Curvy Hair,None
53,Toxic Air,Zombie,Dirty Beard,Gangsta Shades,Buddhist Robe,Mushy Hair,Gold Chain
54,Sahara Desert,Human,Shaolin Stache,Eye Patch,Jacket,Viking Hat,None
55,City Rooftop,Human,Brown Beard,Round Glasses,Philosopher's Robe,Viking Hat,Regular Earring
56,Blue Sky,Human,Dirty Beard,Gangsta Shades,Celestial Fit,Viking Hat,None
57,Starry Nights,Human,Wizard Beard,Normal_Eyes,Philosopher's Robe,Asssasin Cut,Face Paint
58,Purple City,Human,Dirty Beard,Laser Eyes,Philosopher's Robe,Tarboush,Regular Earring
59,Blue Buzz,Human,Wizard Beard,Normal_Eyes,Hoodie,Mushy Hair,None
60,Blue Sky,Human,Dirty Beard,Normal_Eyes,Buddhist Robe,Sheikh Hat,None
61,Blue Sky,Zombie,Brown Beard,Zombie Eyes,Buddhist Robe,Curvy Hair,None
62,Purple City,Human,Brown Beard,Normal_Eyes,Hoodie,Sheikh Hat,None
63,Toxic Air,Zombie,Black Beard,Normal_Eyes,Assasin's Fit,Hippie,None
64,Purple City,Human,Black Beard,Normal_Eyes,Buddhist Robe,Hippie,None
65,Blue Sky,Human,Shaolin Stache,Normal_Eyes,Hoodie,Curvy Hair,None
66,Toxic Air,Human,Dirty Beard,Normal_Eyes,Jacket,Tarboush,None
67,Blue Sky,Human,Chop Stache,Round Glasses,Jacket,Tarboush,None
68,Blue Sky,Alien,Black Beard,Normal_Eyes,Philosopher's Robe,Tarboush,None
69,Blue Buzz,Human,Dirty Beard,Round Glasses,Pizza Shirt,Hippie,Regular Earring
70,Purple City,Human,Dirty Beard,Gangsta Shades,Pizza Shirt,Eagle Feather Hat,Face Paint
71,Purple City,Human,Chop Stache,Round Glasses,Jacket,Mushy Hair,None
72,Sahara Desert,Human,Chop Stache,Round Glasses,Jacket,Sheikh Hat,None
73,Toxic Air,Human,Brown Beard,Normal_Eyes,Assasin's Fit,Curvy Hair,None
74,Desert Night,Human,Black Beard,Normal_Eyes,Jacket,Hippie,None
75,Sahara Desert,Human,Brown Beard,Normal_Eyes,Philosopher's Robe,Hippie,None
76,City Rooftop,Human,Black Beard,Zombie Eyes,Hoodie,Asssasin Cut,None
77,Purple City,Zombie,Chop Stache,Round Glasses,Pizza Shirt,Mushy Hair,Gold Earring
78,Beach,Human,Brown Beard,Round Glasses,Jacket,Hippie,None
79,Sahara Desert,Zombie,Black Beard,Round Glasses,Hoodie,Curvy Hair,None
80,Blue Sky,Human,Dirty Beard,Gangsta Shades,Hoodie,Turban,None
81,Desert Night,Human,Black Beard,Laser Eyes,Philosopher's Robe,Turban,None
82,Purple City,Human,Black Beard,Normal_Eyes,Buddhist Robe,Sombrero,None
83,Hallucinations,Human,Brown Beard,Gangsta Shades,Pizza Shirt,Mushy Hair,Face Paint
84,Blue Buzz,Human,Wizard Beard,Normal_Eyes,Hoodie,Hippie,None
85,Blue Buzz,Alien,Wizard Beard,Normal_Eyes,Pizza Shirt,Sombrero,None
86,Blue Sky,Human,Dirty Beard,3D Glasses,Jacket,Tarboush,Face Paint
87,Sahara Desert,Human,Dirty Beard,Normal_Eyes,Hoodie,Sensei Hat,None
88,Blue Buzz,Human,Black Beard,Normal_Eyes,Pizza Shirt,Pharaoh Hat,Face Paint
89,Blue Buzz,Human,Shaolin Stache,Normal_Eyes,Buddhist Robe,Curvy Hair,Gold Chain
90,City Rooftop,Human,Black Beard,Eye Patch,Celestial Fit,Sensei Hat,None
91,Blue Sky,Human,Wizard Beard,Normal_Eyes,Pizza Shirt,Tarboush,Regular Earring
92,Purple City,Human,Dirty Beard,Normal_Eyes,Celestial Fit,Asssasin Cut,None
93,Beach,Human,Brown Beard,Eye Patch,Jacket,Mushy Hair,Face Paint
94,Beach,Zombie,Dirty Beard,Laser Eyes,Buddhist Robe,Mushy Hair,None
95,Blue Buzz,Alien,Black Beard,Normal_Eyes,Hoodie,Turban,Regular Earring
96,Blue Buzz,Human,Brown Beard,Normal_Eyes,Jacket,Tarboush,Gold Earring
97,City Rooftop,Human,Chop Stache,Zombie Eyes,Buddhist Robe,Hippie,None
98,Blue Buzz,Human,Dirty Beard,Laser Eyes,Philosopher's Robe,Mushy Hair,None
99,Blue Sky,Human,Dirty Beard,Normal_Eyes,Assasin's Fit,Mushy Hair,Regular Earring
100,Purple City,Zombie,Dirty Beard,Laser Eyes,Jacket,Celestial Crown,None
101,Mountains,Human,Chop Stache,Snorkeler Kit,Pizza Shirt,Hippie,None
102,Purple City,Human,Brown Beard,Normal_Eyes,Pizza Shirt,Turban,Regular Earring
103,Mountains,Zombie,Wizard Beard,Normal_Eyes,Assasin's Fit,Celestial Crown,None
104,Mountains,Alien,Black Beard,Normal_Eyes,Philosopher's Robe,Tarboush,None
105,Purple City,Human,Chop Stache,Normal_Eyes,Jacket,Mushy Hair,Regular Earring
106,Blue Buzz,Human,Brown Beard,Round Glasses,Hoodie,Tarboush,None
107,City Rooftop,Zombie,Shaolin Stache,Normal_Eyes,Jacket,Sombrero,None
108,Purple City,Human,Wizard Beard,Normal_Eyes,Hoodie,Sombrero,Regular Earring
109,Blue Buzz,Zombie,Brown Beard,Normal_Eyes,Buddhist Robe,Tarboush,None
110,Sahara Desert,Zombie,Black Beard,Gangsta Shades,Hoodie,Sensei Hat,Regular Earring
111,Purple City,Human,Brown Beard,Normal_Eyes,Philosopher's Robe,Mushy Hair,None
112,Blue Sky,Human,Dirty Beard,Normal_Eyes,Assasin's Fit,Sombrero,None
113,Toxic Air,Human,Black Beard,Normal_Eyes,Assasin's Fit,Hippie,None
114,Purple City,Human,Brown Beard,Round Glasses,Assasin's Fit,Sombrero,None
115,Toxic Air,Human,Chop Stache,Gangsta Shades,Philosopher's Robe,Tarboush,Regular Earring
116,Purple City,Zombie,Black Beard,Normal_Eyes,Assasin's Fit,Turban,Face Paint
117,City Rooftop,Alien,Chop Stache,Eye Patch,Jacket,Curvy Hair,None
118,Purple City,Human,Dirty Beard,Eye Patch,Philosopher's Robe,Curvy Hair,None
119,Starry Nights,Alien,Wizard Beard,Normal_Eyes,Jacket,Turban,Regular Earring
120,Sahara Desert,Human,Chop Stache,Normal_Eyes,Philosopher's Robe,Asssasin Cut,None
121,Blue Sky,Human,Shaolin Stache,Gangsta Shades,Native,Curvy Hair,None
122,Blue Sky,Human,Black Beard,Normal_Eyes,Assasin's Fit,Curvy Hair,Face Paint
123,City Rooftop,Alien,Dirty Beard,Normal_Eyes,Pizza Shirt,Hippie,None
124,City Rooftop,Human,Brown Beard,Round Glasses,Buddhist Robe,Sheikh Hat,None
125,Purple City,Human,Black Beard,Normal_Eyes,Buddhist Robe,Tarboush,None
126,Sahara Desert,Human,Brown Beard,Normal_Eyes,Hoodie,Turban,None
127,Starry Nights,Human,Dirty Beard,Normal_Eyes,Celestial Fit,Viking Hat,None
128,City Rooftop,Human,Brown Beard,Gangsta Shades,Jacket,Hippie,None
129,City Rooftop,Human,Chop Stache,Laser Eyes,Jacket,Mushy Hair,None
130,Purple City,Human,Dirty Beard,Normal_Eyes,Jacket,Sensei Hat,Regular Earring
131,Desert Night,Human,Black Beard,Normal_Eyes,Pizza Shirt,Mushy Hair,Face Paint
132,City Rooftop,Human,Black Beard,Normal_Eyes,Jacket,Hippie,None
133,Purple City,Human,Black Beard,Eye Patch,Pizza Shirt,Curvy Hair,None
134,Starry Nights,Alien,Chop Stache,Normal_Eyes,Hoodie,Hippie,None
135,Blue Sky,Human,Brown Beard,Gangsta Shades,Buddhist Robe,Mushy Hair,None
136,Sahara Desert,Zombie,Brown Beard,Zombie Eyes,Assasin's Fit,Viking Hat,Gold Chain
137,Blue Buzz,Human,Dirty Beard,Normal_Eyes,Pizza Shirt,Asssasin Cut,None
138,Blue Buzz,Zombie,Wizard Beard,Normal_Eyes,Pizza Shirt,Curvy Hair,None
139,City Rooftop,Human,Chop Stache,Normal_Eyes,Jacket,Sombrero,None
140,Blue Sky,Human,Black Beard,Normal_Eyes,Pizza Shirt,Mushy Hair,Regular Earring
141,Blue Buzz,Zombie,Black Beard,Round Glasses,Buddhist Robe,Mushy Hair,None
142,Starry Nights,Human,Chop Stache,Normal_Eyes,Philosopher's Robe,Tarboush,None
143,Blue Buzz,Human,Chop Stache,3D Glasses,Celestial Fit,Hippie,Regular Earring
144,City Rooftop,Zombie,Black Beard,Normal_Eyes,Pizza Shirt,Sombrero,None
145,Purple City,Human,Dirty Beard,Normal_Eyes,Celestial Fit,Sombrero,None
146,Purple City,Human,Brown Beard,Gangsta Shades,Hoodie,Sombrero,None
147,Toxic Air,Zombie,Shaolin Stache,Round Glasses,Hoodie,Turban,None
148,Blue Sky,Human,Chop Stache,Normal_Eyes,Assasin's Fit,Tarboush,None
149,Blue Sky,Human,Brown Beard,Laser Eyes,Pizza Shirt,Hippie,Gold Earring
150,Blue Buzz,Human,Dirty Beard,Normal_Eyes,Hoodie,Asssasin Cut,None
151,Purple City,Human,Dirty Beard,Eye Patch,Buddhist Robe,Celestial Crown,Face Paint
152,Purple City,Human,Chop Stache,Normal_Eyes,Jacket,Hippie,None
153,Purple City,Human,Brown Beard,Normal_Eyes,Pizza Shirt,Mushy Hair,Regular Earring
154,Purple City,Human,Chop Stache,Round Glasses,Hoodie,Asssasin Cut,None
155,City Rooftop,Zombie,Chop Stache,Eye Patch,Philosopher's Robe,Sombrero,None
156,Blue Buzz,Zombie,Chop Stache,Normal_Eyes,Jacket,Curvy Hair,None
157,Purple City,Human,Brown Beard,Normal_Eyes,Jacket,Tarboush,Regular Earring
158,Purple City,Human,Brown Beard,Gangsta Shades,Celestial Fit,Mushy Hair,None
159,Blue Sky,Human,Wizard Beard,Round Glasses,Hoodie,Turban,None
160,Blue Sky,Human,Dirty Beard,Normal_Eyes,Pizza Shirt,Tarboush,None
161,Beach,Human,Brown Beard,Round Glasses,Jacket,Tarboush,None
162,Blue Sky,Human,Black Beard,Eye Patch,Celestial Fit,Sombrero,None
163,City Rooftop,Human,Dirty Beard,Normal_Eyes,Pizza Shirt,Sensei Hat,None
164,Blue Buzz,Human,Chop Stache,Zombie Eyes,Celestial Fit,Viking Hat,Regular Earring
165,City Rooftop,Human,Chop Stache,Laser Eyes,Celestial Fit,Sensei Hat,None
166,City Rooftop,Human,Black Beard,Normal_Eyes,Philosopher's Robe,Mushy Hair,Face Paint
167,Sahara Desert,Human,Brown Beard,Eye Patch,Assasin's Fit,Tarboush,None
168,Toxic Air,Human,Shaolin Stache,Normal_Eyes,Hoodie,Sombrero,None
169,City Rooftop,Zombie,Wizard Beard,Round Glasses,Jacket,Curvy Hair,Regular Earring
170,Blue Sky,Zombie,Chop Stache,Normal_Eyes,Jacket,Hippie,None
171,Purple City,Human,Brown Beard,Normal_Eyes,Jacket,Viking Hat,None
172,Purple City,Human,Dirty Beard,3D Glasses,Philosopher's Robe,Hippie,None
173,Blue Buzz,Human,Chop Stache,Zap Shades,Buddhist Robe,Viking Hat,Regular Earring
174,Purple City,Human,Dirty Beard,Normal_Eyes,Jacket,Viking Hat,None
175,Sahara Desert,Alien,Black Beard,Gangsta Shades,Pizza Shirt,Hippie,None
176,City Rooftop,Human,Brown Beard,Normal_Eyes,Jacket,Viking Hat,None
177,Purple City,Human,Brown Beard,Normal_Eyes,Celestial Fit,Sombrero,None
178,Blue Sky,Human,Black Beard,Gangsta Shades,Pizza Shirt,Mushy Hair,None
179,Desert Night,Alien,Brown Beard,Round Glasses,Assasin's Fit,Mushy Hair,None
180,Starry Nights,Human,Dirty Beard,Normal_Eyes,Buddhist Robe,Hippie,None
181,Purple City,Human,Black Beard,Round Glasses,Buddhist Robe,Celestial Crown,Face Paint
182,Desert Night,Human,Brown Beard,Normal_Eyes,Buddhist Robe,Sombrero,None
183,City Rooftop,Human,Brown Beard,Round Glasses,Philosopher's Robe,Asssasin Cut,None
184,Blue Sky,Human,Chop Stache,Round Glasses,Jacket,Curvy Hair,None
185,Purple City,Zombie,Black Beard,Round Glasses,Jacket,Sheikh Hat,Face Paint
186,Purple City,Human,Brown Beard,Round Glasses,Philosopher's Robe,Viking Hat,Regular Earring
187,Blue Buzz,Human,Chop Stache,Normal_Eyes,Hoodie,Turban,Gold Earring
188,Blue Buzz,Human,Black Beard,Normal_Eyes,Jacket,Mushy Hair,Gold Earring
189,Blue Buzz,Human,Dirty Beard,Round Glasses,Buddhist Robe,Viking Hat,Regular Earring
190,Blue Sky,Zombie,Brown Beard,Eye Patch,Pizza Shirt,Asssasin Cut,None
191,Beach,Zombie,Chop Stache,Round Glasses,Philosopher's Robe,Curvy Hair,Regular Earring
192,Blue Buzz,Human,Black Beard,Normal_Eyes,Buddhist Robe,Mushy Hair,Gold Earring
193,Sahara Desert,Human,Dirty Beard,Zap Shades,Hoodie,Hippie,Regular Earring
194,Toxic Air,Zombie,Black Beard,Normal_Eyes,Jacket,Hippie,None
195,City Rooftop,Human,Black Beard,Normal_Eyes,Pizza Shirt,Curvy Hair,None
196,Blue Buzz,Zombie,Black Beard,Eye Patch,Buddhist Robe,Sombrero,Face Paint
197,Sahara Desert,Human,Dirty Beard,Normal_Eyes,Pizza Shirt,Sheikh Hat,Regular Earring
198,Blue Sky,Human,Dirty Beard,Gangsta Shades,Pizza Shirt,Mushy Hair,None
199,Blue Buzz,Human,Dirty Beard,Normal_Eyes,Hoodie,Turban,None
200,City Rooftop,Zombie,Dirty Beard,Round Glasses,Jacket,Hippie,Face Paint
201,Blue Buzz,Alien,Brown Beard,Round Glasses,Buddhist Robe,Sombrero,None
202,Blue Buzz,Human,Shaolin Stache,Eye Patch,Pizza Shirt,Sensei Hat,Regular Earring
203,Toxic Air,Human,Brown Beard,Normal_Eyes,Celestial Fit,Hippie,Face Paint
204,Sahara Desert,Human,Dirty Beard,Gangsta Shades,Hoodie,Asssasin Cut,None
205,City Rooftop,Zombie,Brown Beard,Normal_Eyes,Assasin's Fit,Tarboush,Regular Earring
206,Blue Buzz,Human,Shaolin Stache,Normal_Eyes,Buddhist Robe,Hippie,None
207,Desert Night,Human,Brown Beard,Gangsta Shades,Philosopher's Robe,Turban,Regular Earring
208,Blue Buzz,Human,Dirty Beard,Normal_Eyes,Jacket,Hippie,Regular Earring
209,City Rooftop,Zombie,Black Beard,Laser Eyes,Hoodie,Turban,None
210,Purple City,Human,Brown Beard,Round Glasses,Buddhist Robe,Celestial Crown,None
211,Starry Nights,Human,Dirty Beard,Normal_Eyes,Pizza Shirt,Asssasin Cut,Regular Earring
212,City Rooftop,Human,Dirty Beard,3D Glasses,Philosopher's Robe,Sensei Hat,None
213,Blue Sky,Human,Black Beard,Normal_Eyes,Buddhist Robe,Sensei Hat,None
214,Blue Sky,Human,Brown Beard,Normal_Eyes,Philosopher's Robe,Sombrero,None
215,Sahara Desert,Human,Wizard Beard,Normal_Eyes,Hoodie,Curvy Hair,Regular Earring
216,Blue Sky,Human,Shaolin Stache,Normal_Eyes,Hoodie,Celestial Crown,Regular Earring
217,Purple City,Human,Shaolin Stache,Normal_Eyes,Hoodie,Tarboush,None
218,Blue Buzz,Human,Shaolin Stache,Normal_Eyes,Hoodie,Hippie,Regular Earring
219,Desert Night,Human,Shaolin Stache,Normal_Eyes,Pizza Shirt,Hippie,None
220,Starry Nights,Human,Chop Stache,3D Glasses,Hoodie,Sombrero,None
221,Sahara Desert,Human,Black Beard,Normal_Eyes,Hoodie,Tarboush,None
222,Purple City,Human,Black Beard,Gangsta Shades,Philosopher's Robe,Sheikh Hat,None
223,Purple City,Human,Brown Beard,Round Glasses,Hoodie,Curvy Hair,None
224,Blue Buzz,Human,Dirty Beard,Normal_Eyes,Jacket,Curvy Hair,None
225,Beach,Human,Black Beard,Round Glasses,Hoodie,Hippie,None
226,Toxic Air,Alien,Dirty Beard,3D Glasses,Hoodie,Asssasin Cut,None
227,Toxic Air,Human,Chop Stache,Laser Eyes,Assasin's Fit,Curvy Hair,Regular Earring
228,Purple City,Human,Black Beard,Zombie Eyes,Hoodie,Hippie,None
229,Blue Buzz,Alien,Brown Beard,Round Glasses,Philosopher's Robe,Celestial Crown,None
230,Mountains,Human,Chop Stache,Normal_Eyes,Jacket,Tarboush,None
231,Desert Night,Human,Dirty Beard,Gangsta Shades,Pizza Shirt,Hippie,None
232,City Rooftop,Human,Brown Beard,Zap Shades,Buddhist Robe,Sombrero,Regular Earring
233,Beach,Human,Chop Stache,Normal_Eyes,Jacket,Mushy Hair,Face Paint
234,City Rooftop,Alien,Brown Beard,Normal_Eyes,Hoodie,Viking Hat,None
235,Sahara Desert,Human,Black Beard,Zap Shades,Philosopher's Robe,Curvy Hair,None
236,Blue Sky,Human,Brown Beard,3D Glasses,Philosopher's Robe,Sensei Hat,None
237,Purple City,Human,Brown Beard,Eye Patch,Pizza Shirt,Hippie,Regular Earring
238,Purple City,Human,Chop Stache,Eye Patch,Hoodie,Sombrero,None
239,Blue Sky,Zombie,Black Beard,Gangsta Shades,Jacket,Viking Hat,None
240,Blue Buzz,Human,Black Beard,Normal_Eyes,Philosopher's Robe,Viking Hat,None
241,Blue Sky,Human,Chop Stache,Gangsta Shades,Hoodie,Tarboush,None
242,City Rooftop,Human,Dirty Beard,Laser Eyes,Buddhist Robe,Celestial Crown,None
243,Purple City,Alien,Wizard Beard,Zombie Eyes,Assasin's Fit,Sensei Hat,None
244,Purple City,Human,Wizard Beard,Laser Eyes,Pizza Shirt,Sombrero,Gold Earring
245,City Rooftop,Human,Brown Beard,Normal_Eyes,Assasin's Fit,Hippie,None
246,Blue Buzz,Human,Dirty Beard,3D Glasses,Jacket,Mushy Hair,None
247,City Rooftop,Human,Black Beard,Normal_Eyes,Hoodie,Hippie,Face Paint
248,Blue Sky,Human,Brown Beard,Gangsta Shades,Pizza Shirt,Asssasin Cut,Regular Earring
249,City Rooftop,Human,Black Beard,Eye Patch,Celestial Fit,Viking Hat,None
250,Purple City,Human,Dirty Beard,Round Glasses,Buddhist Robe,Mushy Hair,Face Paint
251,Purple City,Alien,Chop Stache,Normal_Eyes,Hoodie,Sombrero,Regular Earring
252,Mountains,Human,Brown Beard,Normal_Eyes,Buddhist Robe,Asssasin Cut,Regular Earring
253,Blue Buzz,Human,Brown Beard,Normal_Eyes,Assasin's Fit,Sombrero,None
254,Beach,Human,Shaolin Stache,Normal_Eyes,Jacket,Celestial Crown,None
255,Blue Sky,Zombie,Brown Beard,Gangsta Shades,Jacket,Hippie,Face Paint
256,Purple City,Human,Black Beard,Normal_Eyes,Hoodie,Viking Hat,Gold Earring
257,Mountains,Alien,Brown Beard,Normal_Eyes,Philosopher's Robe,Tarboush,Regular Earring
258,Blue Sky,Human,Brown Beard,Normal_Eyes,Pizza Shirt,Tarboush,None
259,Purple City,Human,Chop Stache,Normal_Eyes,Jacket,Tarboush,Face Paint
260,City Rooftop,Human,Dirty Beard,Normal_Eyes,Hoodie,Mushy Hair,None
261,City Rooftop,Human,Dirty Beard,Normal_Eyes,Jacket,Mushy Hair,None
262,Blue Buzz,Human,Dirty Beard,Round Glasses,Pizza Shirt,Hippie,None
263,Toxic Air,Human,Chop Stache,Round Glasses,Hoodie,Mushy Hair,None
264,Blue Sky,Alien,Black Beard,Normal_Eyes,Hoodie,Tarboush,None
265,Blue Sky,Human,Dirty Beard,Round Glasses,Pizza Shirt,Sensei Hat,None
266,Purple City,Human,Black Beard,Gangsta Shades,Buddhist Robe,Hippie,Face Paint
267,Purple City,Zombie,Dirty Beard,Normal_Eyes,Philosopher's Robe,Sensei Hat,None
268,Blue Sky,Human,Black Beard,Normal_Eyes,Buddhist Robe,Turban,None
269,Toxic Air,Human,Dirty Beard,Round Glasses,Philosopher's Robe,Turban,None
270,Blue Buzz,Zombie,Dirty Beard,3D Glasses,Jacket,Celestial Crown,None
271,City Rooftop,Human,Black Beard,Normal_Eyes,Buddhist Robe,Mushy Hair,None
272,City Rooftop,Alien,Chop Stache,Normal_Eyes,Buddhist Robe,Mushy Hair,None
273,Purple City,Human,Dirty Beard,Normal_Eyes,Roman Soldier Fit,Hippie,Gold Chain
274,Purple City,Zombie,Dirty Beard,Normal_Eyes,Hoodie,Sombrero,None
275,Blue Sky,Human,Black Beard,Round Glasses,Hoodie,Turban,Face Paint
276,City Rooftop,Human,Black Beard,Normal_Eyes,Jacket,Asssasin Cut,None
277,Beach,Alien,Chop Stache,Normal_Eyes,Hoodie,Mushy Hair,None
278,Purple City,Human,Black Beard,Normal_Eyes,Pizza Shirt,Tarboush,None
279,Blue Sky,Human,Brown Beard,Zombie Eyes,Hoodie,Turban,None
280,Purple City,Zombie,Black Beard,Normal_Eyes,Pizza Shirt,Hippie,Face Paint
281,Blue Sky,Human,Black Beard,Normal_Eyes,Jacket,Hippie,None
282,City Rooftop,Human,Brown Beard,Round Glasses,Hoodie,Hippie,None
283,Blue Buzz,Alien,Brown Beard,Round Glasses,Philosopher's Robe,Sombrero,None
284,City Rooftop,Human,Black Beard,Round Glasses,Hoodie,Sensei Hat,Regular Earring
285,City Rooftop,Human,Black Beard,Eye Patch,Philosopher's Robe,Viking Hat,None
286,Blue Buzz,Human,Dirty Beard,Normal_Eyes,Celestial Fit,Viking Hat,Face Paint
287,City Rooftop,Human,Brown Beard,Gangsta Shades,Pizza Shirt,Hippie,Regular Earring
288,Blue Buzz,Human,Dirty Beard,Normal_Eyes,Hoodie,Sheikh Hat,None
289,Hallucinations,Human,Dirty Beard,Normal_Eyes,Pizza Shirt,Hippie,None
290,Purple City,Human,Chop Stache,Normal_Eyes,Pizza Shirt,Viking Hat,None
291,Blue Buzz,Alien,Chop Stache,Eye Patch,Jacket,Hippie,None
292,Blue Buzz,Human,Brown Beard,Normal_Eyes,Jacket,Sheikh Hat,Face Paint
293,City Rooftop,Alien,Brown Beard,Normal_Eyes,Celestial Fit,Tarboush,None
294,Purple City,Human,Chop Stache,Round Glasses,Philosopher's Robe,Tarboush,Regular Earring
295,Blue Buzz,Human,Chop Stache,3D Glasses,Buddhist Robe,Tarboush,None
296,Blue Sky,Human,Brown Beard,Normal_Eyes,Buddhist Robe,Mushy Hair,Regular Earring
297,Sahara Desert,Human,Brown Beard,Normal_Eyes,Philosopher's Robe,Sheikh Hat,Face Paint
298,City Rooftop,Human,Chop Stache,Normal_Eyes,Pizza Shirt,Tarboush,Gold Chain
299,Blue Sky,Human,Black Beard,3D Glasses,Assasin's Fit,Hippie,None
300,Blue Buzz,Human,Chop Stache,Normal_Eyes,Buddhist Robe,Tarboush,Gold Earring
301,Blue Sky,Human,Black Beard,Gangsta Shades,Philosopher's Robe,Turban,None
302,City Rooftop,Human,Chop Stache,Gangsta Shades,Hoodie,Hippie,None
303,Purple City,Alien,Brown Beard,3D Glasses,Pizza Shirt,Turban,Regular Earring
304,Toxic Air,Human,Chop Stache,Normal_Eyes,Pizza Shirt,Tarboush,None
305,Beach,Zombie,Dirty Beard,Eye Patch,Jacket,Tarboush,None
306,Blue Sky,Human,Shaolin Stache,Normal_Eyes,Jacket,Tarboush,None
